user_id,texto_relato,latitude,longitude,data,topico,urgency
citizen13,Sou homem trans e sinto muita insegurança ao voltar do trabalho à noite. Preciso dar uma volta muito maior para evitar a avenida principal que está às escuras.,-22.976453,-43.232939,2025-12-15,Iluminacao publica,baixa
citizen12,"Tentei voltar de aplicativo ontem à noite, mas três motoristas cancelaram a corrida dizendo que não entram na nossa área da Gávea por medo.",-22.986121,-43.246751,2025-07-26,Conflito social,baixa
citizen03,"Como entregador de bicicleta, sofro muito com a falta de sinalização e ciclovias na Gávea. O percurso atrasa e corremos risco de vida.",-22.975909,-43.224899,2025-08-26,Seguranca e circulacao,baixa
citizen01,Meus filhos pequenos não podem mais brincar ou ir ao projeto social de esportes porque os confrontos armados acontecem a qualquer hora do dia.,-22.987832,-43.245737,2025-10-17,Conflito social,alta
citizen04,A praça onde levava meus netos está tomada por lixo acumulado e sujeira. Ninguém mais consegue frequentar o local por causa do abandono.,-22.986279,-43.244954,2026-02-18,Lixo e conservacao,media
citizen12,Está tendo muita discussão e briga entre os vizinhos por causa do descarte irregular de lixo nas áreas comuns e becos da nossa comunidade.,-22.974883,-43.231601,2026-01-10,Lixo e conservacao,media
citizen12,A praça onde levava meus netos está tomada por lixo acumulado e sujeira. Ninguém mais consegue frequentar o local por causa do abandono.,-22.976047,-43.232933,2026-06-03,Lixo e conservacao,media
citizen01,"Falta fiscalização urbana e ordenamento de posturas na saída da faculdade, ambulantes estão ocupando todo o espaço público.",-22.977538,-43.232340,2026-01-30,Outro,baixa
citizen11,O entorno do nosso centro cultural na Gávea está totalmente às escuras e abandonado. Paramos de fazer nossas atividades e apresentações artísticas à noite.,-22.986545,-43.245610,2025-09-15,Iluminacao publica,baixa
citizen03,Levaram os cabos de cobre dos postes novamente esta madrugada. Minha rua está totalmente às escuras e os assaltos explodiram aqui na região.,-22.978644,-43.233049,2026-02-02,Vandalismo,alta
citizen14,Gostaria de solicitar fiscalização de barulho comercial e ordem pública em estabelecimento na Rua Marquês de São Vicente.,-22.975866,-43.229489,2026-02-08,Outro,baixa
citizen10,"Voltar do trabalho à noite na Gávea está assustador. Ruas desertas, escuras e sem nenhuma segurança ou policiamento visível.",-22.980202,-43.234150,2026-04-17,Seguranca e circulacao,baixa
citizen02,Fiquei ilhado no ponto de ônibus porque o transporte público parou de circular completamente após o início de um tiroteio na região.,-22.979032,-43.234515,2025-10-19,Conflito social,alta
citizen01,Perdi a consulta médica da minha mãe idosa porque os acessos da comunidade foram fechados logo cedo por causa de uma operação policial que dura dias.,-22.987541,-43.246755,2025-10-13,Conflito social,alta
citizen08,"Sou porteiro e vejo que as calçadas estão repletas de pessoas em situação de rua desamparadas, ocorrendo conflitos diários por falta de assistência.",-22.987384,-43.246750,2025-08-15,Espaco publico,baixa
