user_id,texto_relato,latitude,longitude,data,topico,urgency
c0001,"O poste em frente ao Parque da Cidade está apagado há mais de duas semanas. À noite a rua fica no breu e a gente tem medo de assalto ao voltar para casa.",-22.971204,-43.227815,2025-07-03,Iluminacao publica,alta
c0002,"O esgoto do beco transborda toda vez que chove perto da Rua Marquês de São Vicente. A água parada já está atraindo mosquito, temo um surto de dengue na vizinhança.",-22.978000,-43.232140,2025-07-18,Lixo e conservacao,alta
c0003,"Roubos na rua principal da Gávea aumentaram muito no último ano. Sou comerciante e os clientes já evitam vir à noite por causa da sensação de insegurança.",-22.974130,-43.228900,2025-08-05,Seguranca e circulacao,alta
c0001,"As calçadas da Rua Marquês de São Vicente estão esburacadas e mal iluminadas. Já vi idoso quase cair à noite por não enxergar o buraco.",-22.973450,-43.231020,2025-08-21,Espaco publico,media
c0004,"A coleta de lixo aqui na parte alta é irregular, às vezes passa dias sem o caminhão subir. O lixo acumula, atrai rato e traz risco de leptospirose para as crianças.",-22.969870,-43.215300,2025-09-02,Lixo e conservacao,alta
c0005,"O ônibus que sobe até o bairro corta cedo à noite. Quem não tem carro fica preso e acaba andando no escuro, o que é perigoso por aqui.",-22.965210,-43.221440,2025-09-14,Transito e mobilidade,media
c0003,"A praça perto da Santos Dumont virou ponto de uso de drogas depois que as luzes queimaram. As famílias não levam mais as crianças para brincar lá.",-22.976300,-43.224700,2025-09-27,Espaco publico,alta
c0006,"Tem valão a céu aberto que existe há décadas na minha viela. É questão de saúde pública, o cheiro é insuportável e as crianças passam por ali todos os dias.",-22.972900,-43.233500,2025-10-08,Lixo e conservacao,alta
c0007,"A iluminação das ruas menos movimentadas da Gávea é precária. Moro aqui há 30 anos e nunca foi tão escuro; à noite evito sair a pé.",-22.961500,-43.210800,2025-10-19,Iluminacao publica,media
c0002,"O semáforo da esquina da Marquês de São Vicente vive quebrado e os carros passam em alta velocidade. Já houve quase atropelamento de criança saindo da escola.",-22.974800,-43.230100,2025-10-30,Transito e mobilidade,alta
c0008,"A área verde do Parque da Cidade está abandonada: trilhas fechadas, lixo acumulado e iluminação quebrada. Vira esconderijo e a gente sente medo de circular.",-22.970100,-43.226200,2025-11-11,Espaco publico,media
c0005,"Buraco enorme na Rua Marquês de São Vicente está há meses sem conserto. Motociclista já caiu ali e à noite, sem luz, o risco de acidente é grande.",-22.973000,-43.229500,2025-11-23,Transito e mobilidade,media
c0009,"À noite o entorno da PUC fica deserto e mal iluminado. Estudante que sai tarde da aula caminha com medo até o ponto de ônibus.",-22.978500,-43.231900,2025-12-04,Seguranca e circulacao,alta
c0004,"Descarte irregular de entulho num terreno abandonado perto de casa está acumulando há semanas. Já apareceram ratos e temo doença com as chuvas chegando.",-22.967300,-43.217600,2025-12-15,Lixo e conservacao,media
c0010,"As pichações tomaram conta dos muros da praça e dos pontos de ônibus da Gávea. O lugar parece abandonado e isso afasta as pessoas, deixa tudo mais inseguro.",-22.964200,-43.219800,2025-12-27,Vandalismo,baixa
c0006,"Houve confronto armado na parte alta na semana passada e a comunidade está apavorada. Muita gente não dorme direito, a ansiedade tomou conta das famílias.",-22.971800,-43.234100,2026-01-06,Conflito social,alta
c0007,"A praça Santos Dumont está com bancos quebrados e canteiros destruídos. Dá tristeza ver o espaço depredado; ninguém quer ficar ali à tarde.",-22.975600,-43.223300,2026-01-17,Vandalismo,baixa
c0011,"Falta espaço de lazer seguro para as crianças aqui dentro. O campinho não tem manutenção e a iluminação não funciona, então ninguém usa depois do anoitecer.",-22.968900,-43.213200,2026-01-29,Espaco publico,media
c0003,"Furtos de carro e de residência ficaram frequentes na nossa rua na Gávea. As câmeras ajudam, mas falta presença de policiamento de verdade no bairro.",-22.962700,-43.208900,2026-02-09,Seguranca e circulacao,alta
c0008,"Os ônibus para o metrô são lotados e demoram demais. Sem alternativa, muita gente acaba voltando tarde e a pé pela Marquês de São Vicente, no escuro.",-22.973700,-43.230800,2026-02-20,Transito e mobilidade,media
c0001,"Vários postes da Rua Marquês de São Vicente estão apagados ao mesmo tempo. O trecho ficou perigoso à noite e já teve relato de assalto a pedestre.",-22.974500,-43.231600,2026-03-03,Iluminacao publica,alta
c0012,"O lixo acumula nos córregos porque a coleta não chega direito na parte de cima. Isso polui tudo e já vi criança brincando perto do esgoto exposto.",-22.969200,-43.218400,2026-03-14,Lixo e conservacao,alta
c0009,"A tensão entre moradores e as operações na região tem deixado todo mundo nervoso. A sensação de medo constante está afetando a saúde mental da vizinhança.",-22.977200,-43.233000,2026-03-26,Conflito social,media
c0005,"O ponto de ônibus da Gávea foi vandalizado de novo, sem teto e com vidro quebrado. Quem espera condução fica exposto e à noite o local é inseguro.",-22.964900,-43.220500,2026-04-05,Vandalismo,baixa
c0010,"A esquina da Praça Santos Dumont fica intransitável com os carros estacionados na calçada. Cadeirante e mãe com carrinho são empurrados para o meio da rua.",-22.975100,-43.224000,2026-04-16,Espaco publico,media
c0002,"Esgoto a céu aberto correndo em um trecho perto de casa há meses. É um problema de saúde pública gravíssimo e ninguém da prefeitura aparece para resolver.",-22.978300,-43.232600,2026-04-27,Lixo e conservacao,alta
c0011,"À noite o beco fica completamente escuro porque os postes nunca foram consertados. Tenho medo de voltar do trabalho, já assaltaram um vizinho ali.",-22.968100,-43.214500,2026-05-06,Iluminacao publica,alta
c0007,"O comércio de rua da Gávea está esvaziando e as lojas fechadas viram fachadas pichadas. Quanto mais abandono, mais a rua fica perigosa à noite.",-22.961900,-43.211700,2026-05-15,Vandalismo,baixa
c0013,"Trânsito caótico na saída das escolas da Marquês de São Vicente, sem nenhum agente organizando. Já vi criança atravessar correndo entre carros, é um risco de atropelamento.",-22.973900,-43.229900,2026-05-23,Transito e mobilidade,alta
c0006,"Brigas e confusão à noite na praça por causa do abandono do espaço. Os moradores do entorno vivem em conflito e ninguém media a situação.",-22.972200,-43.225600,2026-05-30,Conflito social,media
