user_id,texto_relato,latitude,longitude,data,topico,urgency
citizen060,Equipamentos de ginástica na Estrada da Gávea enferrujados e sem manutenção.,-22.976453,-43.232939,2025-01-04,Espaco publico,baixa
citizen029,"Vandalizaram o playground na Rua Padre Leonel Franca, crianças sem onde brincar. Muros recém-pintados na Rua Padre Leonel Franca já pichados novamente. Portão da praça na Rua Padre Leonel Franca forçado e quebrado.",-22.986121,-43.246751,2025-05-05,Vandalismo,alta
citizen023,"Vandalizaram o banco da praça perto do Shopping da Gávea, destruído. Portão da praça perto do Shopping da Gávea forçado e quebrado.",-22.975909,-43.224899,2025-02-03,Vandalismo,baixa
citizen054,Trânsito parado na Rua Marquês de São Vicente por obra sem aviso prévio.,-22.987832,-43.245737,2025-12-01,Transito e mobilidade,baixa
citizen019,Não tem bancos na praça na beira da Lagoa pra sentar. Brinquedo do parquinho na beira da Lagoa quebrado há meses. Falta rampa de acessibilidade na beira da Lagoa.,-22.986279,-43.244954,2025-05-01,Espaco publico,media
citizen026,"Tem um monte de entulho abandonado na Rua Jardim Botânico, absurdo.",-22.974883,-43.231601,2026-04-07,Lixo e conservacao,baixa
citizen039,"Minha rua virou lixão. Tem lixo na Pista Cláudio Coutinho por todo lado. Cara, o lixo na Pista Cláudio Coutinho tá ridículo. Já liguei pra prefeitura e nada.",-22.976047,-43.232933,2025-09-26,Lixo e conservacao,baixa
citizen012,"Ponto de ônibus perto do Shopping da Gávea sem cobertura, chuva molha todo mundo. Calçada toda quebrada perto do Shopping da Gávea, impossível pra cadeirante.",-22.977538,-43.232340,2026-01-01,Espaco publico,baixa
citizen031,"Escrita de gangue pichada logo ali na esquina, intimidatório.",-22.986545,-43.245610,2026-02-22,Vandalismo,alta
citizen034,Traficantes na esquina na Rua Fonte da Saudade intimidando quem passa. Assalto a pedestres na Rua Fonte da Saudade virou rotina.,-22.978644,-43.233049,2025-10-16,Seguranca e circulacao,alta
citizen018,Briga feia entre vizinhos no Parque da Cidade que já durou horas. Agressão entre pedestres no Parque da Cidade filmada por testemunhas.,-22.975866,-43.229489,2025-12-10,Conflito social,alta
citizen054,"Tem um monte de entulho abandonado logo ali na esquina, absurdo.",-22.980202,-43.234150,2025-01-10,Lixo e conservacao,media
citizen052,Lâmpada queimada na minha rua há quinze dias sem previsão de troca.,-22.979032,-43.234515,2025-06-27,Iluminacao publica,baixa
citizen012,Trânsito parado perto da PUC-Rio por obra sem aviso prévio. Faixa de pedestres perto da PUC-Rio completamente apagada.,-22.987541,-43.246755,2025-12-16,Transito e mobilidade,baixa
citizen017,"Esgoto entupido e lixo acumulado perto do Shopping da Gávea, situação precária.",-22.987384,-43.246750,2026-05-22,Lixo e conservacao,media
citizen010,"Há dias com sacos de lixo rasgados perto do Shopping da Gávea, cheios de inseto. Tô passando perto do Shopping da Gávea e o cheiro de lixo tá insuportável.",-22.974735,-43.224693,2025-02-25,Lixo e conservacao,media
citizen011,"Animal abandonado na Rua Vice-Governador Rubens Berardo há dias, alguém pode ajudar? Barulho de obra na Rua Vice-Governador Rubens Berardo às seis da manhã todo dia. Evento privado bloqueando a calçada na Rua Vice-Governador Rubens Berardo sem aviso.",-22.979228,-43.233286,2025-03-04,Outro,baixa
citizen045,Moradores brigando por causa de barulho na Rua Vice-Governador Rubens Berardo todo fim de semana.,-22.974002,-43.232144,2026-01-18,Conflito social,alta
citizen033,Faixa de pedestres na Pista Cláudio Coutinho completamente apagada.,-22.987429,-43.246190,2025-03-07,Transito e mobilidade,media
citizen036,"Asfalto esburacado na Praça Santos Dumont, minha suspensão já sofreu.",-22.979763,-43.243065,2025-08-17,Transito e mobilidade,media
citizen013,"Porta de garagem arrombada na Pista Cláudio Coutinho, terceiro caso.",-22.976799,-43.227614,2025-07-24,Seguranca e circulacao,alta
citizen032,Lâmpada queimada na Rua Pacheco Leão há quinze dias sem previsão de troca.,-22.987472,-43.246687,2025-01-22,Iluminacao publica,alta
citizen012,Conflito relacionado a entrega de aplicativo na Rua Vice-Governador Rubens Berardo ficou feio.,-22.976075,-43.224648,2025-12-25,Conflito social,alta
citizen018,"A praça na Rua Padre Leonel Franca tá abandonada, ninguém cuida.",-22.974398,-43.226803,2025-08-22,Espaco publico,alta
citizen038,Totem de informação na Praça Santos Dumont quebrado e apagado.,-22.979694,-43.242483,2025-04-30,Espaco publico,baixa
citizen034,Discussão por vaga de estacionamento perto do Shopping da Gávea virou caso de polícia.,-22.976747,-43.234169,2025-11-01,Conflito social,alta
citizen031,Buraco na rede de esgoto na Rua Vice-Governador Rubens Berardo com cheiro forte.,-22.979822,-43.241417,2025-04-08,Outro,baixa
citizen015,Minha filha tem medo de passar aqui no bairro de noite por causa do escuro.,-22.980679,-43.244154,2025-12-26,Iluminacao publica,alta
citizen006,Equipamento de academia ao ar livre na Rua Casuarina destruído. Grafite obsceno na parede da escola na Rua Casuarina.,-22.986174,-43.244611,2025-11-15,Vandalismo,alta
citizen003,Tem pessoas suspeitas circulando logo ali na esquina toda noite. Traficantes na esquina logo ali na esquina intimidando quem passa.,-22.975784,-43.228568,2025-03-11,Seguranca e circulacao,alta
